Designator,Mid X,Mid Y,Rotation,Layer
AE1,143.002,-120.269,180.0,top
C1,159.4866,-80.7974,0.0,top
C10,159.953999,-63.373,0.0,top
C11,150.749,-59.944,0.0,top
C15,152.781,-84.775001,270.0,top
C17,150.027601,-79.8576,180.0,top
C18,163.322,-97.368399,270.0,top
C19,153.553199,-98.933,0.0,top
C21,132.582001,-34.9773,270.0,top
C23,159.004,-45.722501,90.0,top
C25,130.133001,-34.9773,90.0,top
C26,126.362499,-44.958,180.0,top
C27,159.004,-56.004499,270.0,top
C4,165.078999,-68.072,180.0,top
C5,159.953999,-65.659,0.0,top
C6,173.527,-74.422,270.0,top
C7,162.433,-84.9122,270.0,top
C8,165.018,-70.358,180.0,top
C9,165.018,-73.533,180.0,top
IC1,143.592,-106.465,180.0,top
J1,125.42,-55.134,90.0,top
J10,170.561,-92.583,90.0,top
J4,153.04,-64.516,270.0,top
J5,173.285,-115.6696,90.0,top
J7,134.787015,-62.316984,315.0,top
J9,107.375,-40.64,0.0,top
L6,146.257,-40.64,180.0,top
L7,146.303899,-58.4708,0.0,top
R1,155.659,-84.836,90.0,top
R14,130.169001,-38.809301,270.0,top
R15,127.974001,-34.952301,270.0,top
R2,149.987,-87.63,0.0,top
R3,160.7585,-113.665,180.0,top
R4,157.091,-113.9015,90.0,top
R5,134.614001,-34.952301,90.0,top
R6,151.58365,-102.4109,90.0,top
R7,153.53365,-102.3984,270.0,top
R8,166.3192,-109.2473,270.0,top
R9,166.3192,-119.8372,90.0,top
U1,169.523999,-69.2095,270.0,top
U2,157.061,-93.002,270.0,top
U3,134.788001,-40.817801,90.0,top
U4,157.607,-104.8319,0.0,top
U5,169.650999,-74.4275,180.0,top
U6,147.0914,-60.8076,0.0,top
Y1,159.4866,-84.7852,270.0,top
